"ID","POST_ID","MS_ID","MS_SPACEID","CAP_COLOR","METER_TYPE","SMART_METE","ACTIVESENS","JURISDICTI","ON_OFF_STR","OSP_ID","RATEAREA","SFPARKAREA","STREET_NUM","STREETNAME","STREET_SEG","Location"
"1468","568-17444","568-17440","4","Black","MS","Y","N","SFMTA","ON","0","MC3"," ","1744","MISSION ST","9113000","(37.768726, -122.420113)"
"796","658-00025","658-00020","5","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","2","SPEAR ST","12044000","(37.793604, -122.395524)"
"2272","840-22270","-","0","Black","SS","Y","N","PORT","ON","0","PortMC1"," ","2227","GRANT AVE","6418000","(37.807953, -122.409097)"
"681","650-36160","-","0","Black","SS","N","N","SFMTA","ON","0","MC3"," ","3616","SACRAMENTO ST","11268000","(37.787534, -122.452537)"
"664","324-10286","324-10280","6","Black","MS","N","N","SFMTA","ON","0","MC3"," ","1028","BATTERY ST","2766000","(37.801285, -122.401515)"
"549","651-00093","651-00090","3","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","9","SANSOME ST","11542000","(37.790714, -122.40073)"
"1906","684-03959","684-03950","9","Black","MS","Y","N","SFMTA","ON","0","MC5","South Embarcadero","395","TOWNSEND ST","12663000","(37.775253, -122.397118)"
"1421","219-41140","-","0","Black","SS","N","N","SFMTA","ON","0","MC3"," ","4114","19TH ST","985000","(37.759303, -122.435404)"
"928","502-06260","502-06260","10","Black","MS","N","N","SFMTA","ON","0","MC2"," ","626","JONES ST","7572000","(37.787542, -122.413249)"
"2038","202-02146","202-02140","6","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","214","02ND ST","135000","(37.786372, -122.397871)"
"375","504-03130","-","0","Black","SS","N","N","SFMTA","ON","0","MC3"," ","313","JUDAH ST","7643000","(37.762126, -122.465723)"
"256","204-03090","-","0","Black","SS","N","N","SFMTA","ON","0","MC5","South Embarcadero","309","04TH ST","256000","(37.781926, -122.400889)"
"1685","324-05033","324-05030","3","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","503","BATTERY ST","2760000","(37.795999, -122.4006)"
"1278","501-01126","501-01120","6","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","112","JESSIE ST","7517000","(37.78818, -122.400739)"
"2125","561-00372","561-00370","2","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","37","MAIN ST","8627000","(37.792594, -122.395746)"
"2235","651-10320","-","0","Black","SS","N","N","SFMTA","ON","0","MC3"," ","1032","SANSOME ST","11556000","(37.80021, -122.402504)"
"1135","501-01206","501-01200","6","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","120","JESSIE ST","7517000","(37.788024, -122.400937)"
"649","224-31690","-","0","Black","SS","N","N","SFMTA","ON","0","MC3"," ","3169","24TH ST","1341000","(37.752335, -122.41581)"
"210","463-00391","463-00390","1","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","39","HAWTHORNE ST","6809000","(37.784929, -122.398064)"
