"objectid","ID","STREET","SIDE","LOCATION_","Z_OF_UNMET","LEGISLATIO","DESCRIPTIO","LEG_DATE","shape","data_as_of","analysis_neighborhood","supervisor_district"
"142","16","CLAY ST","N","E. LEAVENWORTH ST.","2","761-95","FROM LEAVENWORTH ST. TO 7' EASTE","1995-09-27T17:00:00.000000000-07:00","POINT (-122.415792374 37.793142096)","2018-02-12T20:36:13.000000000-08:00","Nob Hill","3"
"106","33","NOE ST.","W","S. MARKET ST.","2","86-94",,,"POINT (-122.433190501 37.763667591)","2018-02-09T23:59:20.000000000-08:00","Castro/Upper Market","8"
"6","78","TAYLOR ST","W","N. CLAY ST","7","803-02","FROM 70'-94' N.CLAY ST.",,"POINT (-122.412999497 37.793714633)","2018-02-09T23:59:20.000000000-08:00","Nob Hill","3"
"130","0","FOLSOM ST","S","E 9TH ST","2","5407-15","75 TO 85FT EAST OF 9TH ST","2015-05-08T17:00:00.000000000-07:00","POINT (-122.41129577 37.773857753)","2018-02-12T20:54:21.000000000-08:00","South of Market","6"
"70","0","DUNCAN ST","NS","PROP LINE OF 318 DUNCAN","2","11-014","7FT WEST OF 318 DUNCAN ST","1899-12-29T16:00:00.000000000-08:00","POINT (-122.427653303 37.74614043)","2018-02-09T23:59:20.000000000-08:00","Noe Valley","8"
"87","0","INDIANA ST","E","SOUTH OF 23RD ST","3","10-017","1200 BLOCK ON INDIANA ES OF 23RD ST","2010-01-06T16:00:00.000000000-08:00","POINT (-122.39074549 37.754880394)","2018-02-10T00:05:07.000000000-08:00","Potrero Hill","10"
"111","48","TAYLOR ST.","E","N. WASHINGTON ST.","2","761-95","FROM WASHINGTON ST. TO 7' NORTHE","1995-09-27T17:00:00.000000000-07:00","POINT (-122.412948118 37.794586106)","2018-02-09T23:59:20.000000000-08:00","Nob Hill","3"
"78","0","FOLSOM ST","S","W. OF SHERMAN ST","3","4065-12","96-110FT W. OF SHERMAN (1067-1075)","2012-06-07T17:00:00.000000000-07:00","POINT (-122.407207071 37.777085829)","2018-02-09T23:59:20.000000000-08:00","South of Market","6"
"67","0","WALLER ST","N","EAST OF WEBSTER","2","10-071","FROM 40 TO 50 FT EAST OF WEBSTER","1899-12-29T16:00:00.000000000-08:00","POINT (-122.428321303 37.771515933)","2018-02-09T23:59:20.000000000-08:00","Hayes Valley","5"
"140","98","PAGE ST","S","1669 PAGE ST","3","142-04","1669 AND 1673 DRIVEWAYS PAGE STREET","1899-12-29T16:00:00.000000000-08:00","POINT (-122.448154126 37.770727739)","2018-02-12T20:29:23.000000000-08:00","Haight Ashbury","5"
"116","17","CLEMENTINA ST","S","E. 8TH ST.","25","1040-97","FROM 8TH ST. TO 19.5' EASTERLY,","1997-11-20T16:00:00.000000000-08:00","POINT (-122.410275086 37.775579062)","2018-02-12T21:04:05.000000000-08:00","South of Market","6"
"56","50","TAYLOR ST.","E","S. 1328 TAYLOR ST.","2","951-00","FROM D/W FOR 1328 TAYLOR ST. TO","2000-11-08T16:00:00.000000000-08:00","POINT (-122.412975874 37.79472059)","2018-02-09T23:59:20.000000000-08:00","Nob Hill","3"
"143","57","VALLEJO ST","N","W. HYDE ST.","2","695-97","FROM 136' TO 146' W. HYDE ST., 1","1997-07-27T17:00:00.000000000-07:00","POINT (-122.419044682 37.797380263)","2018-02-12T20:55:18.000000000-08:00","Russian Hill","3"
"81","0","KANSAS ST","W","SOUTH OF 16TH ST","3","5022-12","138-151 SOUTH OF 16TH ST","2012-10-04T17:00:00.000000000-07:00","POINT (-122.403752297 37.765569907)","2018-02-09T23:59:20.000000000-08:00","Mission Bay","10"
"77","0","JESSIE ST","W","SOUTH OF MCCOPPIN","4","4064-12","FROM McCOPPIN T 14FT SOUTHERLY","2012-07-23T17:00:00.000000000-07:00","POINT (-122.42113914 37.771499847)","2018-02-09T23:59:20.000000000-08:00","Mission","6"
"129","63","JACKSON ST","S","W. BAKER","2","11-01","BTWN DW #3003 AND #3005","2001-01-11T16:00:00.000000000-08:00","POINT (-122.444746892 37.791066228)","2018-02-12T20:23:05.000000000-08:00","Pacific Heights","2"
"9","82","FILLMORE ST","W","N. HAYES ST","5","730-93","FROM 121' TO 143' NORTH OF HAYES ST","1899-12-29T16:00:00.000000000-08:00","POINT (-122.431350101 37.776046809)","2018-02-09T23:59:20.000000000-08:00","Hayes Valley","5"
"95","68","PIERCE ST","E","S. PAGE ST","2","684-01","FROM 60' TO 67' S. PAGE ST","2001-08-30T17:00:00.000000000-07:00","POINT (-122.433948647 37.772074231)","2018-02-09T23:59:20.000000000-08:00","Haight Ashbury","5"
